,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
2,22,TINI,latin pop,2019,31/12/1969,176,64,70,-5,9,81,159,1,9,76,Argentina
3,110,Capital Bra,german hip hop,2019,31/12/1969,179,75,48,-5,10,42,195,53,43,76,Germany
4,2002,Sido,german hip hop,2019,31/12/1969,160,69,66,-8,10,49,237,21,24,82,Germany
5,+,Aitana,latin pop,2019,31/12/1969,160,67,56,-4,12,68,219,11,3,76,Spain
6,"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,2019,31/12/1969,90,63,65,-5,11,43,168,15,3,93,Indonesia
7,"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,2019,31/12/1969,90,63,65,-5,11,43,168,15,3,93,Malasya
8,100 Degrees,Rich Brian,indonesian hip hop,2019,31/12/1969,81,65,76,-5,52,66,166,12,7,77,Indonesia
9,105 F Remix,KEVVO,perreo,2019,31/12/1969,100,75,90,-7,29,74,464,37,16,83,Chile
10,105 F Remix,KEVVO,perreo,2019,31/12/1969,100,75,90,-7,29,74,464,37,16,83,Spain
11,200 km/h,Apache 207,german hip hop,2019,31/12/1969,148,67,90,-6,11,41,163,27,16,79,Germany
12,2000 Miles - 2007 Remaster,Pretenders,album rock,1984,31/12/1969,66,71,22,-9,10,45,220,0,4,78,Australia
13,3 Batidas - Ao Vivo,Guilherme & Benuto,sertanejo pop,2019,31/12/1969,118,71,55,-5,76,53,157,61,13,82,Brazil
14,7 rings,Ariana Grande,dance pop,2019,31/12/1969,140,32,78,-11,9,33,179,59,33,92,Israel
15,8 Days of Christmas,Destiny's Child,dance pop,1999,31/12/1969,100,84,69,-1,6,64,210,5,19,67,Australia
16,8 Parche,Baani Sandhu,punjabi pop,2019,31/12/1969,174,86,65,-2,20,73,210,16,21,68,India
17,93% [Tijuana],GLK,francoton,2019,31/12/1969,136,69,80,-5,18,80,223,62,6,73,France
18,A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,31/12/1969,119,88,54,-3,93,63,183,72,10,80,Brazil
19,A Dónde Vamos,Morat,colombian pop,2019,31/12/1969,149,61,63,-13,23,96,203,1,4,77,Spain
20,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,31/12/1969,134,94,79,-2,96,83,238,37,3,78,Brazil
21,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,31/12/1969,140,37,67,-13,10,86,133,59,3,83,World
22,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,31/12/1969,140,37,67,-13,10,86,133,59,3,83,Africa
